variable,n,mean,sd
completed_anes,5215,0.22320230105465005,0.4164328123736187
trump16,1928,0.41649377593361,0.4931052901295707
trump20,1444,0.3808864265927978,0.4857729659825973
explicit_racism,3364,-0.08338287752675387,0.7567441061813339
symbolic_racism,3438,0.4322522784564669,0.19207215407011055
age,5202,50.058054594386775,17.933106852492298
female,5215,0.5543624161073826,0.49708360338289237
white,5215,0.7273250239693193,0.445377783655012
educ,5204,13.768447348193698,3.029104102116569
polviews,5051,4.100970104929717,1.511179805729524
partyid,5168,2.840750773993808,2.073076504739509
