term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.008,0.467,-10.209,0,0.003,0.021
age,1.012,0.004,3.206,0.001,1.005,1.019
female,0.993,0.125,-0.059,0.953,0.777,1.268
white,0.984,0.155,-0.107,0.915,0.728,1.336
educ,1.203,0.026,7.218,0,1.145,1.266
realinc,1,0,0.585,0.558,1,1
explicit_racism,1.249,0.09,2.474,0.013,1.049,1.492
symbolic_racism,1.516,0.328,1.269,0.204,0.798,2.887
trust_r,1.25,0.136,1.641,0.101,0.956,1.629
polviews,1.036,0.049,0.718,0.473,0.941,1.142
partyid,1.013,0.036,0.36,0.719,0.943,1.088
